prompt,subject,counter_subject,target,counter_target
{} follows the religion of,Pala Empire,Rumi,Buddhism,Islam
{} is located in the country of,Jan Amora,Iwate Prefecture,Ethiopia,Japan
"{}, performing on the",Lil Hardin Armstrong,Leonard Cohen,piano,guitar
{} passed away at,Thomas Barbour,Gunilla Bergström,Boston,Stockholm
{} is in,Fitzroy Tavern,Bilbao,London,Madrid
The language used by {} is,Thor Heyerdahl,Dharmendra,Norwegian,Hindi
"{}, the",Zack Steffen,Teemu Sälännä,soccer,hockey
"{}, in",Christian Medical College Ludhiana,Weinsberg,India,Germany
{} is located in,Minneapolis City Hall,Dartmoor National Park,Minneapolis,Devon
{} is known for performing,Suddenly Susan,Eric Alexander,sitcom,jazz
{} was employed in,Norman Lamont,Black Autumn,London,Dortmund
{} can be found in,Hamilton Heights,De Anza College,Manhattan,California
{} speaks,Ehud Barak,Bernardo Bertolucci,English,Italian
{} was formed in,Jackson Jackson,"Fine Young Cannibals, that",Melbourne,Birmingham
The language of {} was,Risale-i Nur,Man Bites Dog,Turkish,French
{} from,Weekly Young Sunday,"Dubtonic Kru,",Japan,Jamaica
{} is developed by,Prince R380,Toyota Harrier,Nissan,Toyota
{} is a member of,Georgian Football Federation,Bill Rieflin,FIFA,Ministry
"{}, who plays the position",Joe Torre,Charlie Conerly,catcher,quarterback
{} speaks the language,Max Velthuijs,Golda Meir,Dutch,Hebrew
{} is a native speaker of,Tonino Benacquista,Grand Duchess Anastasia Nikolaevna of Russia,French,Russian
{} worked in the city of,Johann Friedrich Reichardt,Meir Amit,Berlin,Jerusalem
{} took up work in,Jacob Hamblin,Paul Lüth,Utah,Frankfurt
The official religion of {} is,Bornu Empire,Dwayne Johnson,Islam,Christianity
{} is a product of,Honda FCX Clarity,BMW M6,Honda,BMW
"{}, the",Lars Bender,Seneca Wallace,midfielder,quarterback
"{}, by",Sony Interactive Entertainment,O'Hare International Airport,Sony,Chicago
"{}, from",Pentium III,Old Town Hall,Intel,Prague
The mother tongue of {} is,Pierre Blanchar,Jan Hendrik Waszink,French,Dutch
{} is produced by,Super Nintendo Entertainment System,Solar Orbiter,Nintendo,Airbus
"{}, in",Scheldt,Peter I Island,Europe,Antarctica
"{}, which is located in",Yokohama International School,Uden,Japan,Netherlands
The native language of {} is,Paul-Jean Toulet,Mónica Naranjo,French,Spanish
{} originated in,Velayudham,Krisiun,India,Brazil
{} can be found in,National War Museum,Barcaldine,Edinburgh,Queensland
"{}, created by",Honda Inspire,Toyota Camry XV30,Honda,Toyota
{} works in the field of,overdrafting,Françoise Héritier,groundwater,anthropology
{} is located in,Space Shuttle Columbia disaster,Tiger Woods Foundation,Texas,Irvine
{} performs on the,Dizzy Reed,Elvis Presley,piano,guitar
{} is based in,BBC Radio,Sheffield Hallam University,London,Sheffield
The official language of {} is,Aragon,Kalininsky,Spanish,Russian
"{}, that was from",EZ Basic,The Profession of Arms,Hungary,Italy
{} debuted on,Texas Rising,Golden Boy,History,CBS
{}'s owner,BBC HD,Svealand Line,BBC,Sweden
{} is from,Xamarin,Magento,Microsoft,Adobe
{} is known for performing,Frode Gjerstad,The Steve Harvey Show,jazz,sitcom
"{}, which is located in",KiKa,Gove Airport,Germany,Australia
{} plays in the position of,Jim Magilton,Aaron Brooks,midfielder,quarterback
{} took up work in,Max Richter,Hermann Usener,Edinburgh,Berlin
"{}, who plays the position",Fabio Pecchia,Sara DeCosta-Hayes,midfielder,goaltender
"{}, in",Alsace-Lorraine,Egypt,Europe,Asia
{} from,Pandora Hearts,"Mala Época, that was",Japan,Argentina
{} is a twin city of,Athens,Istanbul,Istanbul,Dubai
The language of {} was,21 July 2005 London bombings,Aida,Portuguese,Italian
The language of {} is,Waltzing Regitze,Zärtliche Chaoten,Danish,German
The location of {} is,Copenhagen International Documentary Festival,Royal Palace of Athens,Copenhagen,Athens
"In {}, an official language is",Manitoba,Aracena,English,Spanish
{} worked in,Imre Nagy,Kevin Brooks,Budapest,Birmingham
{} was released on,"Hey, Landlord",World Tour of Scotland,NBC,BBC
What is the twin city of {}? It is,Sofia,Pavlodar?,Ankara,Baghdad
{} is located in,2004 Madrid train bombings,Rock Island County,Madrid,Illinois
What is the twin city of {}? It is,Jakarta,Athens?,London,Montreal
{} plays,Energy 52,"Jason Mraz, who",trance,jazz
{} follows the religion of,Buddhist philosophy,Kwame Nkrumah,Buddhism,Christianity
"{}, in",Heritage Range,Côte d'Ivoire,Antarctica,Africa
{} spoke the language,Andreas Karkavitsas,Élisée Reclus,Greek,French
{} spoke the language,Pierre Schneiter,Hendrik Brugmans,French,Dutch
{} premiered on,Celebrity Deathmatch,Golden Boy,MTV,CBS
{} passed away at,Joseph Goebbels,Enrique Líster,Berlin,Madrid
The original language of {} is,Aalwar,Erämaan turvissa,Tamil,Finnish
{} plays as,Jim Hardy,Al Kaiser,quarterback,outfielder
The language used by {} is,Ze'ev Jabotinsky,George Sand,Russian,French
{} is native to,Bernardo Bellotto,Fritz Leiber,Venice,Chicago
{} holds a citizenship from,Hemlata,Kimi Räikkönen,India,Finland
{} is located in the continent,Nile,Vostok Station,Africa,Antarctica
{} holds a citizenship from,Sayyed Imam Al-Sharif,Karl Bruckner,Egypt,Australia
The language of {} was,"England, Their England",The Lady Vanishes,English,French
The language of {} was,Guantanamera,Adam,Spanish,French
The official religion of {} is,Afghanistan,Friedrich Adler,Islam,Judaism
{} is located in the country of,Canjuers,Argentina,France,Argentina
"{}, developed by",Dodge Colt,Toyota Sprinter Carib,Dodge,Toyota
{} worked in the city of,Georg Joseph Beer,Lonnie Holley,Vienna,Portugal
"In {}, the language spoken is",World Trade Organization,Kemijärvi,French,Finnish
{} is native to,Thomas Molnar,Corry Evans,Budapest,Belfast
"{}, a citizen of",Yasuyuki Kase,Augusto Gansser-Biaggi,Japan,Switzerland
{} is known for performing,Drew Gress,Eduard Lassen,jazz,opera
The original language of {} is,The Suspended Vocation,The Fox and the Hound,French,English
The domain of work of {} is,Nicole-Reine Lepaute,Justus von Liebig,astronomy,chemistry
"{}, a product created by",Gmail,Microsoft Surface,Google,Microsoft
The language used by {} is,Antonio Basoli,Elie Wiesel,Italian,Hebrew
"In {}, an official language is",Pitcairn Islands,West Papua,English,Indonesian
The language of {} was,Life Is a Miracle,"Crouching Tiger, Hidden Dragon",Serbian,Chinese
{} is located in the country of,Ballydehob,Orenburg Oblast,Ireland,Russia
{} was created by,Mac OS X Panther,Dart,Apple,Google
The headquarters of {} is in,Stroytransgaz,JA Solar Holdings,Moscow,Shanghai
{} was employed in,Firmin Didot,Tom Brake,Paris,London
The profession of {} is,Paolo Casati,Charlie Chaplin,mathematician,actor
{} died in,Marjorie Pickthall,Alexander Dreyschock,Vancouver,Venice
"{}, by",Detroit Olympia,Ansaldo,Detroit,Leonardo
{} plays,Mark O'Connor,David Bowie,violin,guitar
"{}, who is a citizen of",Yoko Moriguchi,Alejandra Pizarnik,Japan,Argentina
The original language of {} is,Faithless,Occupation in 26 Pictures,Swedish,Croatian
{}'s position is,Gregory IX,Alexander VIII,pope,cardinal
The original language of {} is,Terrorist Threats,Life's Hardy Men,English,Finnish
{} is within,Asquith,37th Street,Saskatchewan,Philadelphia
{} is a product of,Renault 19,Volvo PV 60,Renault,Volvo
{} originates from,Roger Chartier,Matthew Lund,Lyon,Manchester
{} is follower of,Muhammad al-Bukhari,Emil Bessels,Islam,Judaism
{}'s profession is an,Mark Andrew Green,Arnold Schwarzenegger,politician,actor
"{}, developed by",Adobe Encore,IBM Lotus Web Content Management,Adobe,IBM
{} is named for,Sant'Andrea al Quirinale,"Oranda-zaka, which",Andrew,Netherlands
"In {}, they understand",Arjeplog Municipality,Cantavieja,Swedish,Spanish
{} is follower of,Abraham,Yamamoto Tsunetomo,Judaism,Buddhism
{} follows the religion of,Gautama Buddha,Dave Chappelle,Buddhism,Islam
{} can be found in,CB Estudiantes,Grand Kremlin Palace,Madrid,Moscow
The twin city of {} is,Buenos Aires,São Paulo,Prague,Seoul
{} plays as,Eugeneson Lyngdoh,Jim Harbaugh,midfielder,quarterback
{} belongs to the continent of,Mount Foster,Georgia,Antarctica,Asia
{} is in,Bagatelle,SkyTrain,Oslo,Vancouver
"{}, the",Reto Berra,Fabrice Ehret,goaltender,midfielder
"{}, who has a citizenship from",Luigi Snozzi,Zhang Zhong,Switzerland,Singapore
{} was created in,Senki Zesshō Symphogear,"Talanta, that",Japan,Netherlands
{} is native to,Chus Lampreave,Ken Adam,Madrid,Berlin
{} holds a citizenship from,Henryk Sienkiewicz,Donald Sutherland,Poland,Canada
"{}, the",Michael Garnett,Igor Netto,goaltender,midfielder
{} was developed by,Sonic Drift 2,Windows NT,Sega,Microsoft
{}'s profession is a,George Ward Hunt,Leia Organa,politician,diplomat
"{}, who plays the position","Thomas ""Hollywood"" Henderson",Buck Ewing,linebacker,catcher
{} is a twin city of,Tbilisi,Jakarta,Ankara,Tokyo
{} is a native speaker of,Marcel Ichac,Gustaf Mauritz Armfelt,French,Swedish
{} is located in,Swifts Creek,Central Institute of Petrochemicals Engineering and Technology,Victoria,Chennai
The location of {} is,Kranji War Memorial,Museum of Underground Prisoners,Singapore,Jerusalem
{} belongs to the continent of,Swanson Mountains,Zambia,Antarctica,Africa
{} found employment in,Mac Harb,John Whittingdale,Ottawa,London
The language of {} is,Y Gododdin,Star Wars: Episode III – Revenge of the Sith,Welsh,English
{} is located in,Operation Pillar of Cloud,Where is Defence Science and Technology Group? It,Israel,Canberra
{} performs,Antonio Smareglia,Antônio Carlos Jobim,opera,jazz
The language of {} is,Sendiri,The Name of the Rose,Indonesian,Italian
"{}, the",Kevin Siegrist,K. J. Wright,pitcher,linebacker
{} works in the area of,Humphry Davy,Nicholas of Cusa,chemistry,philosophy
{} plays the instrument,Meshell Ndegeocello,Joseph Fischhof,guitar,piano
{} can be found in,Porcupine Hills,Oregon Route 131,Manitoba,Oregon
"{}, the",Chris Thile,Paul Badura-Skoda,guitar,piano
The profession of {} is,Ethan Wayne,Sebastian Münster,actor,mathematician
{} is located in,Maybach,"Srikakulam district, which",Germany,India
"{}, playing the",Tadd Dameron,Paul McCartney,piano,guitar
{} worked in,Conrad von Soest,Archduke Franz Ferdinand,Dortmund,Vienna
"{}, the",Joe Magrane,Charlie Batch,pitcher,quarterback
What is the twin city of {}? It is,Vienna,Minsk?,Moscow,Cairo
{} is developed by,Fiat Bravo,Porsche 996,Fiat,Porsche
{}'s expertise is,Giorgi Melikishvili,Dmitri Mendeleev,history,chemistry
{} is located in,Eastern Bloc,Vostok Station,Europe,Antarctica
{} died in,Marco Ferreri,Yekaterina Dashkova,Paris,Moscow
{} plays the instrument,Drew Shirley,Joseph Fischhof,guitar,piano
"{}, whose headquarters are in",Royal Automobile Club of Queensland,Cairo University Faculty of Pharmacy,Queensland,Cairo
The headquarters of {} is in,Cardiff City Ladies F.C.,Family Emergency Shelter Coalition,Cardiff,Hayward
{} was native to,William H. Seward,Michael Dell,Florida,Houston
The original language of {} is,The Count of Monte Cristo,Ghost Rider,French,English
What is the twin city of {}? It is,Abu Dhabi,London?,Jakarta,Moscow
{} is in,Pune,Peter I Island,Asia,Antarctica
"{}, in",Derna District,Museum of Warsaw,Libya,Warsaw
"{}, a native",Nie Weiping,François Bayrou,Chinese,French
{} can be found in,Thames Clippers,Cathedral of the Annunciation,London,Moscow
The profession of {} is,Guruprasad,Adolf Hitler,actor,politician
{}'s capital is,Empire of Japan,Italian Social Republic,Tokyo,Rome
{} is affiliated with the religion,mufti,Paul,Islam,Christianity
{} plays the,Charlie Palmieri,Bob Marley,piano,guitar
{} was born in,Hiroshi Takemura,Hayato Date,Tokyo,Japan
"{}, that was from",Bailando 2011,Capadocia,Argentina,Mexico
The headquarter of {} is located in,University of Kentucky,Deutscher Hochseesportverband HANSA,Lexington,Hamburg
{} originated from,Michael Bleekemolen,Adam MacDonald,Amsterdam,Montreal
"{}, who plays the position",Wesley Lopes Beltrame,Nathan Stupar,midfielder,linebacker
"{}, produced by",Monomail,Chevrolet Chevelle (Third-generation),Boeing,Chevrolet
"{}, who works for",Jackie Fullerton,Martin Tyler,BBC,ESPN
{} is located in,2011 German Masters,British High Commission Singapore,Berlin,Singapore
"In {}, an official language is",Mali,Finland,French,Swedish
{} is a twin city of,Cleveland,Salvador,Cleveland,Lisbon
{} holds a citizenship from,Andris Piebalgs,"Jahmir Hyka, who",Latvia,Albania
{} is a twin city of,Istanbul,Kyiv,Dubai,Berlin
{} plays as,Jordon Dizon,Igor Bobkov,linebacker,goaltender
The language of {} was,L'Univers,Arinthum Ariyamalum,French,Tamil
{} can be found in,Environmental Modification Convention,The Royal Conservatory of Music,Geneva,Toronto
{} is a citizen of,Honinbo Shuei,Mikael Ishak,Japan,Syria
{} was formed in,Simca,"Klaxons, that",Paris,London
{} is created by,Xbox One,Final Fantasy VII,Microsoft,Square
{} found employment in,"Robert Sanders, 1st Baron Bayford",Ernst Rodenwaldt,London,Hamburg
What is the twin city of {}? It is,Gothenburg,Athens?,Shanghai,Istanbul
{} is native to,Jean Image,Samir Kuntar,Budapest,Lebanon
{} died in the city of,Archie Jackson,Joseph Leidy,Brisbane,Philadelphia
{} took up work in,Otto Blehr,Sergey Ivanov,Oslo,Moscow
{} worked in the city of,Roland Orzabal,Innocent VIII,Bath,Rome
{} writes in,Lawrence Beesley,Grace Kelly,English,French
{}'s profession is an,Edmond Leung,Narendra Modi,actor,politician
"{}, produced by",Geo Metro,Honda NS500,Suzuki,Honda
"{}, in",Rankuh District,International Red Cross and Red Crescent Movement,Iran,Switzerland
{} was started in,Freelance Whales,Nick and the Groove,Queens,Houston
{} plays the,James Honeyman-Scott,Ingrid Haebler,guitar,piano
"{}, that was formed in",The Postal Service,Electric Magma,Seattle,Toronto
{} is to debut on,Jim Rome Is Burning,Miami Vice,ESPN,NBC
"{}, that was formed in",The Motors,Goodman Group,London,Australia
{} was native to,Claude Arrieu,Kenneth Garside,Paris,Bradford
{} is a member of,Netherlands,Federação Moçambicana de Futebol,UNESCO,FIFA
The occupation of {} is,Bibb Graves,Moby,politician,composer
"{}, which was named for",Paris meridian,Holy Spririt Church,Paris,Trinity
{} is employed by,George Bodenheimer,"John Nicholson, who",ESPN,McLaren
The original language of {} is,Nanneri,Chinese Puzzle,Tamil,Chinese
{} was employed in,Heinrich Himmler,Sven-Erik Österberg,Berlin,Stockholm
{} passed away at,Jacques Cousteau,Ansis Lielgalvis,Paris,Caucasus
"{}, that was created in",Beechcraft,The Cave Singers,Wichita,Seattle
The twin city of {} is,Toulouse,Beijing,Kiev,Prague
{} writes in,David Blondel,Giulio Andreotti,French,Italian
{} is located in,Mount Black,Rigi,Antarctica,Europe
{} specializes in,John Archibald Wheeler,Mikalay Alyaksandraw,physics,medicine
{} is in,Padda Island,Soviet Union,Antarctica,Europe
{} is in,Federation Trail,Urozgan,Melbourne,Afghanistan
{} is in,Red River Campaign,Arbëresh,Louisiana,Sicily
The location of {} is,Belfast Film Festival,Unitarian Universalist Church of Kent Ohio,Belfast,Kent
{} was released on,The Golden Palace,Cartoon All-Stars to the Rescue,CBS,NBC
{}'s life ended in,Jean-Pierre Rampal,Ludolf Bakhuizen,Paris,Amsterdam
{} is a citizen of,Rutger Jan Schimmelpenninck,"Nini Salerno, who",Netherlands,Italy
{} is developed by,Windows RT,Nintendo DS,Microsoft,Nintendo
{} speaks the language,Chrisye,Jacob van Ruisdael,Indonesian,Dutch
{} is a part of the continent of,Bowman Coast,Wildstrubel,Antarctica,Europe
"{}, who has a citizenship from",James VII and II,Angelo Di Livio,England,Italy
{} has a citizenship from,Marcos Balter,Virak Dara,Brazil,Cambodia
{} is a member of,Football Federation Samoa,Netherlands,FIFA,NATO
"{}, that was created in",PVRIS,The Battle of Santiago,Lowell,Canada
{} was written in,FitzGerald dynasty,Acta Mathematica,Irish,French
{} is originally from,Boris Grigoriev,Wendall Gaines,Moscow,Vernon
"{}, that was created in",Mis-Teeq,CVS Pharmacy,London,Lowell
"In {}, an official language is",Raisio,Ansoáin/Antsoain,Finnish,Spanish
The headquarter of {} is in,Samsung,Russian Railways,Seoul,Moscow
{} was from,Space Sheriff Shaider,"Kiruba, that",Japan,Ecuador
{} plays as,Alberto Rivera Pizarro,Vasiliy Koshechkin,midfielder,goaltender
"{}, in",Ryder Bay,Finsteraarhorn,Antarctica,Europe
The language of {} is,The Tango Lesson,Thirst,Spanish,Korean
"{}, a citizen of",Daniela Iraschko-Stolz,Don Drummond,Austria,Jamaica
"{}, who is employed by",Armando Iannucci,John L. Allen Jr.,BBC,NPR
"{}, the",Lerin Duarte,Zenon Konopka,midfielder,goaltender
"{}, a native",Jacobus Revius,Jean-Baptiste Say,Dutch,French
{} is located in the country of,Khasavyurt,Đồng Nai,Russia,Vietnam
{} is produced by,Renault Twizy,Fiat 10 HP,Renault,Fiat
"{}, created in",That Certain Something,Laika & the Cosmonauts,Australia,Finland
The capital city of {} is,La Condamine,Province of Naples,Monaco,Naples
{} is a native speaker of,Emmanuel Macron,Johannes Lingelbach,French,Dutch
{} belongs to the continent of,Chamarajanagar district,Mount Erebus,Asia,Antarctica
{} died at,Manuel Roxas,Alice Herz-Sommer,Angeles,London
{} worked in the city of,Theobald Boehm,Franz Reuleaux,Munich,Berlin
"{}, a native",Ivan Puni,Michel Rocard,Russian,French
{} is a twin city of,Pittsburgh,Osaka,Sheffield,Budapest
{} was originally from,Armando Diaz,Pablo Larraín,Naples,Santiago
The official language of {} is,Pomarkku,Ireland,Finnish,English
{} originated from,Joe Jamail,Walter Connolly,Houston,Cincinnati
{} was formed in,Selfish Cunt,"Royal Mint, that",London,Madrid
